StartDate,reading,Duration,Progress,Finished,Q42,Q43,Q1,Q1_7_TEXT,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q4_2,Q4_3,Q4_4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17,Q18,Q46
2024-08-08 23:30:29,7,118,100,TRUE,Agree,LinkedIn DM,Industry engineer or researcher in AI/ML/related field,,2,Know a fair amount,Know it well,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,We should develop more powerful and more general systems as fast as possible,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,
2024-08-09 23:28:38,7,282,100,TRUE,Agree,LinkedIn DM,Industry engineer or researcher in AI/ML/related field,,2,Know a fair amount,Know a fair amount,Heard of it,Know a little,Know it well,Never heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat agree,Somewhat agree,strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,
2024-08-10 16:03:37,9,269,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,5,Know it well,Know it well,Know it well,Know a little,Know a little,Know a little,Never heard of it,Never heard of it,"Eventually, but not soon.",Somewhat agree,strongly disagree,strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,We do not need ti reach AGI to already have societal problems.,,
2024-08-11 22:38:37,7,286,100,TRUE,Agree,LinkedIn DM,Industry engineer or researcher in AI/ML/related field,,2,Know it well,Know a fair amount,Never heard of it,Know a little,Never heard of it,Heard of it,Know a little,Never heard of it,We should never build AGI,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,strongly disagree,Strongly agree,"That it will not affect people's daily lives. When people become dependent on a new technology, in this case AI, it will inevitably affect their lives if it were to present some catastrophic risk, either from becoming self-aware or getting turned off due to some sort of power surge or decision by the company that owns/creates the AI.",,
2024-08-12 1:16:00,13,1058,100,TRUE,Agree,LinkedIn DM,Industry engineer or researcher in AI/ML/related field,,5,Know it well,Know it well,Heard of it,Heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Eventually, but not soon.",Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,,,
2024-08-12 7:38:36,9,354,100,TRUE,Agree,LinkedIn DM,Industry engineer or researcher in AI/ML/related field,,2,Know it well,Know it well,Never heard of it,Know it well,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Eventually, but not soon.",Somewhat agree,Strongly agree,strongly disagree,Somewhat agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,Somewhat agree,Strongly agree,strongly disagree,strongly disagree,Somewhat agree,Strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,,,
2024-08-12 16:07:44,13,772,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,2,Know a fair amount,Know a fair amount,Never heard of it,Heard of it,Know a little,Never heard of it,Never heard of it,Never heard of it,We should never build AGI,Strongly agree,Strongly agree,strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,strongly disagree,Strongly agree,"I don’t think it is ever possible for neural techniques (including LLMs) to produce AGI. It is definitely possible to deploy AI tools in situations where they are inappropriate (for example, a neural model directly controlling a vehicle).","I don’t think that LLMs accelerate (or even contribute to) the production of scientific knowledge. Also, it is implausible that they will lead to AGI.",
2024-08-12 17:32:51,13,707,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,7,Know it well,Know it well,Know a little,Know it well,Know it well,Know it well,Know it well,Know it well,"Soon, but not as fast as possible",Somewhat agree,Somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,strongly disagree,Strongly agree,Neither agree nor disagree,strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,"I've been involved in discussions about the AI control problem (as it was known back then) for almost two decades! Even before I started my formal education. Back then, I thought it was something very concerning. Now, I realize how far off we really are from understanding what underlies our own consciousness, much less being able to create conscious machines. I think it's very unlikely that the current generation of autoregressive models will come close to what we call 'general intelligence'. Look at how difficult it is to control model ""hallucination"" (a brilliant marketing term, I'll admit). That said, the tools in their current form are plenty capable of causing significant economic disruption due to job displacement and I think people might be underestimating that a bit. But we very are much in the peak of the hype cycle, and this survey is proof of it.","Framing it as simple as ""OOM-level improvements in X-years"" smells strongly of the same bullshit thinking that Kurzweil used in his books, where you extrapolate Moore's law and figure that once we have the same number of transistors on a chip as neurons in the brain, then we will have human-level intelligence. There have been many essays written on those aren't cogent arguments.",
2024-08-14 1:59:32,9,178,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,1,Know a little,Know a little,Never heard of it,Heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Eventually, but not soon.",Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,
2024-08-14 14:05:06,11,421,100,TRUE,Agree,Discord/Slack/other DM,Industry engineer or researcher in AI/ML/related field,,1,Know a fair amount,Know a fair amount,Know a little,Know a little,Know a fair amount,Know a little,Know a little,Know a little,We should develop more powerful and more general systems as fast as possible,Somewhat agree,Somewhat disagree,strongly disagree,Somewhat agree,Neither agree nor disagree,strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,strongly disagree,strongly disagree,Somewhat agree,Somewhat disagree,strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,"I think the medium-term affects of AI will be social (fake news, chat bot anthropomorphism, etc) rather than technological ",,
2024-08-14 14:12:15,11,455,100,TRUE,Agree,Discord/Slack/other DM,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,10,Know it well,Know a little,Heard of it,Heard of it,Know a little,Never heard of it,Never heard of it,Never heard of it,"Eventually, but not soon.",strongly disagree,strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,strongly disagree,Strongly agree,Neither agree nor disagree,strongly disagree,strongly disagree,Somewhat agree,strongly disagree,strongly disagree,Somewhat disagree,Somewhat disagree,strongly disagree,Strongly agree,,,
2024-08-15 12:19:10,13,138,100,TRUE,Agree,Discord/Slack/other DM,Industry engineer or researcher in AI/ML/related field,,5,Know a little,Know a little,Never heard of it,Never heard of it,Know a little,Never heard of it,Never heard of it,Never heard of it,We should develop more powerful and more general systems as fast as possible,strongly disagree,Somewhat agree,Neither agree nor disagree,strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,
2024-08-08 23:27:30,13,196,76,FALSE,Agree,Email,Industry engineer or researcher in AI/ML/related field,,0,Know it well,Know it well,Know a little,Know a little,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,,,,,,,,,,
2024-08-16 5:02:33,11,321,100,TRUE,Agree,Email,Industry engineer or researcher in AI/ML/related field,,2,Know a fair amount,Know a fair amount,Never heard of it,Know a fair amount,Know it well,Know a little,Never heard of it,Never heard of it,We should develop more powerful and more general systems as fast as possible,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,strongly disagree,Somewhat disagree,,"There is no evidence, just the usual dramatic narrativization of events.",
2024-08-09 6:35:06,0,47,18,FALSE,Agree,LinkedIn DM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16 14:09:20,7,867,100,TRUE,Agree,Discord/Slack/other DM,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,2,Know it well,Know it well,Know it well,Know a little,Know it well,Know it well,Know a little,Never heard of it,"Soon, but not as fast as possible",strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Top Misconception: We can predict and control how AI will work.,,
2024-08-16 13:28:33,7,3820,100,TRUE,Agree,Discord/Slack/other DM,AI safety researcher or professional,,0,Know it well,Know it well,Never heard of it,Never heard of it,Know it well,Know it well,Know it well,Never heard of it,"Soon, but not as fast as possible",strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,strongly disagree,strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,strongly disagree,strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,"Things along the lines of:
- China doesn't care about AI x-risk.
- We are surely on an exponentially worse track with AI x-risk if China gets AGI first.
- The world will almost surely become a dystopia if China gets AGI first.
etc
(To be clear, I think weaker version of those statements are plausible, e.g. the world is somewhat more likely to become a dystopia if China gets AGI first, but I think most Western people's beliefs on how much worse China is in terms of AI safety are WAY TOO disproportionate.)",I would be extremely surprised if robustly tamperproofing open models turned out to be technically feasible.,
2024-08-16 13:56:12,11,5984,100,TRUE,Agree,Discord/Slack/other DM,AI safety researcher or professional,,1,Know a fair amount,Know it well,Know it well,Know a fair amount,Know it well,Know it well,Know it well,Know a fair amount,"Eventually, but not soon.",strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,strongly disagree,Somewhat disagree,strongly disagree,Strongly agree,Somewhat disagree,strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,strongly disagree,Strongly agree,"That it stems from rogue AI, and not slow structural harms to society that accumulate (e.g. fake news undermine a common view of the world, AI automation increases inequality, autonomous weapons lead to more military confrontation, ...)","The reading provides hand wavy intuition pumps about future technologies, which currently are speculative. It is unclear how these technologies will impact the offense defense balance.",
2024-08-16 20:27:54,13,530,100,TRUE,Agree,Discord/Slack/other DM,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,2,Know a fair amount,Know a fair amount,Never heard of it,Heard of it,Know a little,Heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat disagree,Strongly agree,strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,strongly disagree,Somewhat disagree,,,
2024-08-10 16:07:30,0,73,18,FALSE,Agree,Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17 17:28:05,11,283,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,5,Know it well,Know it well,Know it well,Know a fair amount,Know it well,Know a fair amount,Know a fair amount,Never heard of it,"Eventually, but not soon.",Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,It is more likely that evil people use AI to do bad things in the current stage.,,
2024-08-17 18:59:25,9,245,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,7,Know it well,Know it well,Know a fair amount,Know a fair amount,Know it well,Know it well,Know a little,Know a little,We should develop more powerful and more general systems as fast as possible,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,
2024-08-17 20:52:31,9,932,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,10,Know it well,Know it well,Know a fair amount,Know it well,Know a fair amount,Never heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,"That a future agi is using methods developed right now - it follows that ai alignment methods currently developed will not be applicable per se. Also, the mentioned catastrophic risk is in my opinion much more in the future than made out: these concerns (here about agi) are not different in nature than during previous AI-hype cycles (see eg deep blue). This claudes a reasonable discussion about these risks.","That AGI is seemingly ""around the corner"".",
2024-08-18 0:00:54,13,289,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,20,Know a fair amount,Know it well,Know a little,Know it well,Know a little,Know a little,Know a fair amount,Know a little,"Soon, but not as fast as possible",Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,
2024-08-18 3:46:22,7,436,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,3,Know it well,Know a little,Know a little,Know a fair amount,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Soon, but not as fast as possible",Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,strongly disagree,strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,strongly disagree,strongly disagree,Strongly agree,,,
2024-08-18 4:08:23,13,792,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,3,Know it well,Know it well,Know a little,Heard of it,Know a fair amount,Never heard of it,Never heard of it,Never heard of it,We should develop more powerful and more general systems as fast as possible,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,strongly disagree,Strongly agree,strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,strongly disagree,Somewhat disagree,Strongly agree,,,
2024-08-18 4:56:35,11,2321,100,TRUE,Agree,LinkedIn DM,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,3,Know a little,Know it well,Know a little,Know it well,Know a fair amount,Know it well,Know it well,Heard of it,"Eventually, but not soon.",Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,
2024-08-18 7:20:38,13,491,100,TRUE,Agree,Email,"Academic researcher in AI/ML/related field (e.g. PhD student, postdoc, professor)",,5,Know it well,Know it well,Know a fair amount,Heard of it,Know a little,Heard of it,Never heard of it,Never heard of it,We should develop more powerful and more general systems as fast as possible,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,
2024-08-18 13:14:56,0,177,100,TRUE,Agree,Email,4,,0,Know a little,Know a little,Know a little,Know a little,Never heard of it,Never heard of it,Never heard of it,Never heard of it,"Eventually, but not soon.",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,
